GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,FullBath,OverallQual,Neighborhood,SalePrice
1710,2003,2,856,2,7,CollgCr,208500
1262,1976,2,1262,2,6,Veenker,181500
1786,2001,2,920,2,7,CollgCr,223500
1717,1915,3,756,1,7,Crawfor,140000
2198,2000,3,1145,2,8,NoRidge,250000
1362,1993,2,796,1,5,Mitchel,143000
1694,2004,2,1686,2,8,Somerst,307000
2090,1973,2,1107,2,7,NWAmes,200000
1774,1931,2,952,2,7,OldTown,129900
1077,1939,1,991,1,5,BrkSide,118000
1040,1965,1,1040,1,5,Sawyer,129500
2324,2005,3,1175,3,9,NridgHt,345000
912,1962,1,912,1,5,Sawyer,144000
1494,2006,3,1494,2,7,CollgCr,279500
1253,1960,1,1253,1,6,NAmes,157000
854,1929,2,832,1,7,BrkSide,132000
1004,1970,2,1004,1,6,NAmes,149000
1296,1967,2,0,2,4,Sawyer,90000
1114,2004,2,1114,1,5,SawyerW,159000
1339,1958,1,1029,1,5,NAmes,139000
2376,2005,3,1158,3,8,NridgHt,325300
1108,1930,1,637,1,7,IDOTRR,139400
1795,2002,2,1777,2,8,CollgCr,230000
1060,1976,2,1040,1,5,MeadowV,129900
1060,1968,1,1060,1,5,Sawyer,154000
1600,2007,3,1566,2,8,NridgHt,256300
900,1951,2,900,1,5,NAmes,134800
1704,2007,3,1704,2,8,NridgHt,306000
1600,1957,1,1484,1,5,NAmes,207500
520,1927,1,520,1,4,BrkSide,68500
1317,1920,1,649,1,4,IDOTRR,40000
1228,1966,1,1228,1,5,Sawyer,149350
1234,2007,2,1234,2,8,CollgCr,179900
1700,1959,2,1398,1,5,NAmes,165500
1561,2005,2,1561,2,9,NridgHt,277500
2452,2004,3,1117,3,8,NridgHt,309000
1097,1994,2,1097,1,5,CollgCr,145000
1297,1954,2,1297,1,5,NAmes,153000
1057,1953,1,1057,1,5,NAmes,109000
1152,1955,0,0,2,4,Edwards,82000
1324,1965,2,1088,2,6,NAmes,160000
1328,1959,1,1350,1,5,Timber,170000
884,1983,2,840,1,5,SawyerW,144000
938,1975,1,938,1,5,CollgCr,130250
1150,1959,1,1150,1,5,NAmes,141000
1752,2005,2,1752,2,9,NridgHt,319900
2149,2003,2,1434,1,7,Mitchel,239686
1656,2006,3,1656,2,8,Somerst,249700
1452,1920,0,736,2,4,OldTown,113000
955,1966,1,955,1,5,Sawyer,127000
1470,1997,2,794,2,6,Gilbert,177000
